WASH7P,MIR6859-1,CICP27,AL627309.7,AL627309.8,AL627309.5,FO538757.2,FO538757.1,AP006222.1,AL732372.2,AL669831.3,MTND1P23,MTND2P28,MTCO1P12,MTCO2P12,MTATP8P1,MTATP6P1,MTCO3P12,CICP3,AL669831.1
NACC1,AC005546.1,STX10,IER2,RPL12P42,CACNA1A,CCDC130,MRI1,C19orf53,ZSWIM4,AC020916.2,RN7SL619P,AC020916.1,NANOS3,C19orf57,CC2D1A,PODNL1,DCAF15,RFX1,AC022098.4
IL27RA,PALM3,EEF1DP1,MISP3,C19orf67,SAMD1,PRKACA,AC022098.3,ASF1B,AC022098.1,ADGRL1,AC011509.2,LINC01841,LINC01842,ADGRE5,DDX39A,PKN1,AC008569.2,PTGER1,GIPC1
SNRPGP15,DNAJB1,TECR,NDUFB7,CLEC17A,ADGRE3,AC022149.1,ZNF333,ADGRE2,OR7C1,OR7A5,SLC1A6,CASP14,OR1I1,SYDE1,ILVBL,AC003956.1,NOTCH3,EPHX3,BRD4
AC005776.1,AC005776.2,AKAP8,AC005785.1,AKAP8L,AC005785.2,AC006128.1,WIZ,RASAL3,PGLYRP2,CYP4F22,CYP4F23P,RPL23AP2,CYP4F8,CYP4F3,CYP4F12,CYP4F24P,OR10H5,OR10H1,UCA1
LINC01835,CYP4F2,AC005336.2,AC005336.1,CYP4F11,TPM4,AC008894.3,RAB8A,AC008894.2,HSH2D,CIB3,FAM32A,AC020911.1,AP1M1,KLF2,AC020917.3,EPS15L1,AC020917.4,AC020917.1,C19orf44
CHERP,RN7SL146P,AC008764.6,SLC35E1,AC008764.8,MED26,AC008764.9,AC008764.2,AC024075.3,SMIM7,AC024075.2,AC024075.1,TMEM38A,NWD1,SIN3B,AC008737.1,F2RL3,CPAMD8,HAUS8,MYO9B
AC020908.3,AC020913.3,AC020913.2,USE1,OCEL1,NR2F6,USHBP1,BABAM1,ANKLE1,ABHD8,MRPL34,AC010463.3,DDA1,ANO8,GTPBP3,PLVAP,CCDC194,BST2,BISPR,MVB12A
AC010319.4,AC010319.1,AC010319.3,TMEM221,SLC27A1,AC010618.3,PGLS,AC010618.2,FAM129C,COLGALT1,UNC13A,MAP1S,FCHO1,B3GNT3,INSL3,JAK3,RPL18A,SLC5A5,CCDC124,KCNN1
ARRDC2,AC020904.2,RPS18P13,IL12RB1,MAST3,PIK3R2,IFI30,MPV17L2,RAB3A,AC005759.1,PDE4C,KIAA1683,JUND,RPL39P38,LSM4,PGPEP1,GDF15,MIR3189,LRRC25,SSBP4
ISYNA1,AC010335.1,ELL,AC005387.1,FKBP8,AC005387.2,KXD1,AC005253.1,UBA52,CRLF1,C19orf60,TMEM59L,KLHL26,CRTC1,COMP,UPF1,CERS1,AC005197.1,COPE,DDX49
HOMER3,AC002985.2,SUGP2,ARMC6,SLC25A42,TMEM161A,BORCS8-MEF2B,MEF2B,BORCS8,RFXANK,NR2C2AP,NCAN,TM6SF2,SUGP1,MAU2,GATAD2A,TSSK6,NDUFA13,AC011448.1,YJEFN3
CILP2,PBX4,AC002306.1,LPAR2,GMIP,ATP13A1,ZNF101,AC011458.2,AC011458.1,ZNF14,AC011477.7,LINC00663,AC011477.4,AC011477.1,ZNF506,AC011477.2,ZNF253,BNIP3P10,AC011477.3,ZNF93
ZNF682,AC006539.2,ZNF90,AC006539.1,AC011447.3,BNIP3P15,ZNF486,BNIP3P16,AC011447.6,AC011447.7,BNIP3P17,AC078899.1,ZNF826P,AC008554.1,ZNF737,ZNF626,AC010329.1,ZNF66,BNIP3P24,AC008739.2
ZNF85,AC008739.5,ZNF430,VN1R80P,ZNF714,ZNF431,RPL7AP10,AC022432.1,VN1R83P,ZNF708,ZNF738,AC010615.1,ZNF493,AC010615.2,LINC00664,ZNF429,BNIP3P26,AC123912.1,AC123912.4,AC123912.3
VN1R84P,ZNF100,AC092364.2,ZNF43,BNIP3P27,ZNF208,BNIP3P28,ZNF257,PCGF7P,VN1R85P,ZNF676,RPL34P34,ZNF98,ZNF492,RPL34P33,ZNF99,ZNF728,AC074135.1,ZNF730,AC124856.1
SNX6P1,ZNF724,IPO5P1,AC092329.4,ZNF91,AC010300.1,LINC01224,ZNF675,RPS27P29,ZNF681,AC139769.1,BNIP3P39,AC139769.2,RPSAP58,AC139769.3,ZNF726,AC011503.1,AC011503.2,ZNF92P3,ZNF254
AC092279.1,AC092279.2,BNIP3P40,AC073534.2,AC073534.1,LINC00662,AC006504.1,AC006504.5,AC006504.8,AC006504.3,SLC25A1P5,LINC00906,LINC01532,UQCRFS1,AC007786.1,AC007786.2,POP4,PLEKHF1,C19orf12,CCNE1
AC008507.3,URI1,RPL9P32,AC008507.2,AC008507.4,AC008507.1,ZNF536,AC020912.1,TSHZ3,AC025809.1,AC025809.2,ZNF507,AC007773.1,DPY19L3,PDCD5,ANKRD27,SNORA68B,RPS12P31,RGS9BP,AC008736.1
NUDT19,AC008736.2,TDRD12,SLC7A9,CEP89,FAAP24,RHPN2,GPATCH1,WDR88,LRP3,SLC7A10,CEBPA,CEBPA-AS1,AC008738.2,CEBPG,PEPD,RPL21P131,CHST8,KCTD15,AC008556.1
RPS4XP23,RPS4XP20,LSM14A,KIAA0355,RPL29P33,AC010504.1,GPI,PDCD2L,AC008747.1,UBA2,WTIP,RPS26P55,ZNF807,SCGB1B2P,SCGB2B2,AC020910.3,AC020910.6,AC020910.5,ZNF302,AC020910.4
ZNF181,ZNF599,LINC01801,AC008555.1,AC008555.2,AC008555.5,AC008555.4,ZNF30-AS1,ZNF30,AC008555.8,ZNF792,GRAMD1A,AC020907.3,AC020907.4,SCN1B,HPN,HPN-AS1,AC020907.1,FXYD3,LGI4
AC020907.5,FXYD1,FXYD7,FXYD5,FAM187B,FAM187B2P,LSR,AC002128.2,AC002128.1,USF2,HAMP,MAG,CD22,U62631.1,FFAR1,FFAR3,EEF1A1P7,LINC01531,AC002511.2,AC002511.1
FFAR2,KRTDAP,DMKN,SBSN,GAPDHS,TMEM147-AS1,TMEM147,ATP4A,AD000090.1,HAUS5,RBM42,ETV2,COX6B1,UPK1A,ZBTB32,KMT2B,IGFLR1,U2AF1L4,PSENEN,LIN37
HSPB6,PROSER3,AC002398.1,ARHGAP33,LINC01529,NPHS1,KIRREL2,APLP1,NFKBID,AD000864.1,HCST,TYROBP,LRFN3,AF038458.3,AF038458.2,SDHAF1,SYNE4,ALKBH6,AC002116.2,CLIP3
THAP8,WDR62,OVOL3,POLR2I,TBCB,CAPNS1,AD001527.1,COX7A1,AC002984.1,ZNF565,ZNF146,AC012617.1,LINC00665,ZFP14,ZFP82,AC092296.2,ZNF566,AC092295.2,CTBP2P7,ZNF260
AC092295.1,ZNF529,ZNF529-AS1,ZNF382,ZNF461,AC074138.1,LINC01534,ZNF567,ZNF850,AC020928.1,AC020928.2,ZNF790-AS1,ZNF790,ZNF345,ZNF829,RPL31P61,ZNF568,ZNF420,AC010632.1,AC010632.2
ZNF585A,ZNF585B,ZNF383,LINC01535,AC016590.1,HKR1,AC016590.3,AC016590.2,ZNF527,AC008806.1,ZNF569,ZNF570,ZNF793-AS1,AC022148.2,ZNF793,AC022148.1,ZNF571-AS1,ZNF540,ZNF571,ZFP30
ZNF781,AC093227.2,ZNF607,AC093227.1,ZNF573,AC016582.2,AC016582.3,AC016582.1,WDR87,SIPA1L3,AC011465.1,AC011479.3,AC011479.2,RN7SL663P,DPF1,SPINT2,PPP1R14A,YIF1B,KCNK6,CATSPERG
PSMD8,GGN,SPRED3,FAM98C,RASGRP4,RYR1,MAP4K1,EIF3K,ACTN4,AC008649.2,CAPN12,AC022144.1,LGALS7,LGALS7B,LGALS4,ECH1,AC104534.1,HNRNPL,AC008982.2,RINL
SIRT2,NFKBIB,CCER2,SARS2,MRPS12,AC011455.2,FBXO17,FBXO27,ACP7,PAK4,NCCRP1,IFNL3P1,IFNL1,LRFN1,GMFG,AC011445.2,SAMD4B,RN7SL566P,PAF1,MED29
ZFP36,PLEKHG2,RPS16,SUPT5H,TIMM50,DLL3,SELENOV,EID2B,EID2,LGALS17A,CLC,AC005393.1,DYRK1B,FBL,FCGBP,PRR13P5,PSMC4,ZNF546,AC007842.1,ZNF780B
ZNF780A,AC005614.1,MAP3K10,TTC9B,CNTD2,AKT2,AC118344.1,MIR641,RNU6-945P,C19orf47,PLD3,AC118344.2,HIPK4,PRX,SERTAD1,AC010271.2,SERTAD3,AC010271.1,BLVRB,SPTBN4
SHKBP1,LTBP4,NUMBL,COQ8B,ITPKC,C19orf54,SNRPA,MIA,RAB4B,AC008537.4,EGLN2,CYP2T1P,CYP2F2P,AC008537.2,AC008537.3,CYP2A6,CYP2A7,CYP2G1P,CYP2B7P,CYP2B6
CYP2F1,CYP2T3P,CYP2S1,AXL,AC011510.1,HNRNPUL1,RN7SL34P,TGFB1,CCDC97,TMEM91,B9D2,AC011462.4,EXOSC5,BCKDHA,B3GNT8,DMAC2,ERICH4,PCAT19,AC243960.2,PLEKHA3P1
AC243960.3,LINC01480,AC243960.1,CEACAM21,CEACAM4,CEACAM7,CEACAM5,CEACAM6,CEACAM3,HNRNPA1P52,RPS19,MIR6797,CD79A,ARHGEF1,AC010616.1,RABAC1,ATP1A3,GRIK5,ZNF574,POU2F2
AC010247.1,AC010247.2,DEDD2,ZNF526,GSK3A,AC006486.2,ERF,CIC,PAFAH1B3,PRR19,TMEM145,MEGF8,CNFN,LIPE-AS1,LIPE,CXCL17,CEACAM1,CEACAM8,CEACAMP5,RPS10P28
PSG5,PSG4,AC005392.2,CD177,TEX101,LYPD3,PHLDB3,ETHE1,ZNF575,XRCC1,PINLYP,IRGQ,ZNF576,SRRM5,ZNF428,CADM4,PLAUR,RN7SL368P,AC005622.1,SMG9
KCNN4,AC115522.1,LYPD5,ZNF283,ZNF404,AC006213.6,AC006213.2,AC006213.3,ZNF45,ZNF221,ZNF155,AC006213.4,AC006213.5,AC006213.1,ZNF230,ZNF222,ZNF223,ZNF284,ZNF224,AC021092.1
ZNF225,ZNF234,ZNF226,ZNF227,ZNF235,AC138470.1,ZNF233,AC138473.1,NDUFA3P1,ZNF112,ZNF285,ZNF229,ZNF285B,ZNF180,CEACAM20,CEACAM22P,IGSF23,AC243964.2,PVR,CEACAM19
CEACAM16,BCL3,CBLC,BCAM,NECTIN2,AC011481.2,TOMM40,APOE,AC011481.3,APOC1,APOC1P1,APOC2,AC011481.1,CLPTM1,RELB,CLASRP,RNU6-611P,ZNF296,AC011489.1,GEMIN7
MARK4,PPP1R37,EIF5AP3,AC005757.1,NKPD1,TRAPPC6A,BLOC1S3,EXOC3L2,CKM,KLC3,ERCC2,PPP1R13L,CD3EAP,ERCC1,FOSB,RTN2,PPM1N,VASP,OPA3,GPR4
EML2,GIPR,SNRPD2,QPCTL,FBXO46,AC007191.1,BHMG1,SIX5,AC074212.1,DM1-AS,DMPK,DMWD,RSPH6A,SYMPK,AC092301.1,FOXA3,IRF2BP1,MYPOP,NOVA2,CCDC61
PGLYRP1,AC007785.3,IGFL4,AC007785.1,IGFL3,IGFL2,AC006262.2,IGFL2-AS1,IGFL1P1,AC006262.1,RPL12P41,IGFL1,HIF3A,PPP5C,CCDC8,PNMA8C,PNMA8A,PPP5D1,PNMA8B,AC011484.1
AC011551.1,GAPDHP38,CALM3,PTGIR,GNG8,AC093503.3,DACT3,DACT3-AS1,PRKD2,RN7SL364P,MIR320E,STRN4,AC008635.1,FKRP,SLC1A5,AC008622.2,AP2S1,ARHGAP35,AC008895.1,NPAS1
TMEM160,ZC3H4,SAE1,BBC3,CCDC9,INAFM1,C5AR1,C5AR2,DHX34,MEIS3,SLC8A2,KPTN,NAPA-AS1,NAPA,AC073548.1,ZNF541,AC010519.1,AC010331.1,BICRA,AC008985.1
EHD2,NOP53,NOP53-AS1,SELENOW,CRX,PLA2G4C,PLA2G4C-AS1,LIG1,AC011466.3,C19orf68,CARD8,AC011466.4,AC011466.1,CARD8-AS1,ZNF114,CCDC114,EMP3,TMEM143,SYNGR4,KDELR1
GRIN2D,GRWD1,KCNJ14,CYTH2,LMTK3,SULT2B1,FAM83E,SPACA4,RPL18,AC022154.1,SPHK2,DBP,CA11,SEC1P,NTN5,FUT2,MAMSTR,RASIP1,IZUMO1,FUT1
BCAT2,HSD17B14,PLEKHA4,PPP1R15A,TULP2,NUCB1,NUCB1-AS1,AC026803.1,DHDH,BAX,AC026803.2,FTL,GYS1,RUVBL2,LHB,AC008687.4,CGB7,NTF4,KCNA7,SNRNP70
LIN7B,C19orf73,PPFIA3,HRC,TRPM4,SLC6A16,MIR4324,AC011450.1,CD37,TEAD2,AC010524.1,DKKL1,AC010643.1,CCDC155,GFY,SLC17A7,PIH1D1,ALDH16A1,FLT3LG,AC010619.2
RPL13A,RPS11,FCGRT,RCN3,NOSIP,PRRG2,PRR12,RRAS,SCAF1,IRF3,BCL2L12,PRMT1,ADM5,CPT1C,AC011495.1,TSKS,AP2A1,FUZ,AC006942.1,MED25
PTOV1-AS1,PTOV1,AC018766.1,PTOV1-AS2,PNKP,AKT1S1,TBC1D17,IL4I1,NUP62,ATF5,SIGLEC11,SIGLEC16,VRK3,ZNF473,AC010624.3,AC010624.1,AC010624.2,IZUMO2,MYH14,KCNC3
NR1H2,NAPSB,NAPSA,AC008655.2,POLD1,SPIB,MYBPC2,FAM71E1,EMC10,JOSD2,ASPDH,LRRC4B,SYT3,C19orf81,SHANK1,CLEC11A,AC010325.1,ACP4,C19orf48,SNORD88A
LINC01869,KLK1,KLK15,KLK3,KLK2,KLKP1,KLK4,AC011483.1,KLK5,KLK6,KLK7,KLK8,KLK10,KLK11,KLK12,KLK13,KLK14,CTU1,SIGLEC18P,SIGLEC9
AC063977.2,SIGLEC7,SIGLEC17P,SIGLEC22P,CD33,IGLON5,VSIG10L,ETFB,AC008750.5,CLDND2,NKG7,C19orf84,SIGLEC10,AC008750.1,SIGLEC8,SIGLEC12,SIGLEC6,ZNF175,AC018755.3,AC018755.1
SIGLEC5,AC018755.4,SIGLEC14,SPACA6P-AS,SPACA6,HAS1,FPR1,FPR2,FPR3,ZNF577,AC006272.1,AC074141.1,ZNF649-AS1,ZNF649,ZNF613,ZNF350-AS1,ZNF350,ZNF615,ZNF614,ZNF432
AC011468.5,AC011468.1,ZNF841,AC011468.4,ZNF616,AC011468.3,RPL37P23,ZNF836,AC010320.1,PPP2R1A,AC010320.2,ZNF766,AC010320.3,ZNF480,AC010320.4,ZNF610,ZNF880,ZNF528-AS1,AC010332.1,ZNF528
ZNF534,ZNF578,ZNF808,ZNF701,ZNF137P,ZNF83,AC022150.2,AC022150.4,ZNF611,ZNF600,ZNF28,AC008813.1,ZNF468,ZNF320,ZNF888,AC010487.2,ZNF321P,ZNF816,ZNF702P,AC010328.2
AC010328.1,ERVV-1,ERVV-2,ZNF160,ZNF415,ZNF347,ZNF665,AC092070.2,NDUFV2P1,ZNF677,ZNF845,ZNF525,ZNF765,RPL39P36,TPM3P9,ZNF761,ZNF813,TPM3P6,AC011487.1,ZNF331
AC011487.2,AC011487.3,AC011453.1,AC008753.1,NLRP12,AC008440.1,MYADM,PRKCG,CACNG7,CACNG8,CACNG6,VSTM1,OSCAR,NDUFA3,TFPT,PRPF31,AC245052.4,CNOT3,LENG1,TMC4
MBOAT7,TSEN34,RPS9,LILRB3,AC245052.3,LILRA6,LILRB5,LILRB2,LILRA5,AC245884.11,LILRA4,LAIR1,TTYH1,AC245884.9,AC245884.10,AC245884.8,LENG8-AS1,AC245884.3,LENG8,LENG9
CDC42EP5,LAIR2,KIR3DX1,LILRA2,LILRA1,LILRB1,LILRB4,AC243962.1,LILRP1,LILRP2,KIR2DL3,KIR2DL1,KIR2DL4,KIR3DL1,KIR2DS4,KIR3DL2,FCAR,NCR1,NLRP7,NLRP2
AC011476.3,GP6,AC011476.2,RDH13,EPS8L1,PPP1R12C,AC010327.2,TNNT1,TNNI3,DNAAF3,AC010327.3,SYT5,PTPRH,AC010327.4,TMEM86B,AC010327.5,PPP6R1,HSPBP1,BRSK1,TMEM150B
AC020922.4,KMT5C,COX6B2,IL11,TMEM190,TMEM238,RPL28,UBE2S,SHISA7,ISOC2,ZNF628,NAT14,SSC5D,SBK2,SBK3,ZNF579,FIZ1,ZNF524,ZNF865,AC008735.4
ZNF784,ZNF580,ZNF581,CCDC106,U2AF2,AC008735.2,AC008735.1,EPN1,AC010525.1,NLRP9,NLRP11,NLRP4,ZNF787,Y_RNA,ZNF444,AC024580.1,ZSCAN5B,ZSCAN5C,AC011506.1,ZSCAN5A
ZSCAN5DP,EDDM13,AC006116.5,AC006116.8,VN2R17P,AC006116.1,AC006116.2,AC006116.6,ZNF542P,ZNF582,SLC25A36P1,AC006116.4,ZNF582-AS1,ZNF583,ZNF667,ZNF667-AS1,AC004696.2,AC004696.1,ZNF471,AC005498.1
AC005498.2,ZFP28,AC005498.3,ZNF470,ZNF71,SMIM17,ZNF835,ZIM2,PEG3,AC025588.1,ZNF264,AURKC,ZNF805,AC005261.1,ZNF460,AC005261.6,AC005261.2,AC005261.5,ZNF543,AC005261.3
ZNF304,ZNF547,AC003002.1,ZNF548,AC003002.4,AC003002.3,ZNF17,ZNF749,AC004076.1,AC004076.2,VN1R1,VN1R107P,ZNF772,AC003005.2,ZNF419,ZNF773,ZNF549,ZNF550,ZNF416,ZIK1
ZNF530,ZNF134,AC003682.1,ZNF211,TPRG1LP1,ZSCAN4,ZNF551,ZNF154,ZNF671,ZNF776,ZNF586,ZNF552,ZNF587B,FKBP1AP1,ZNF814,ZNF587,AC010326.3,AC010326.4,ZNF417,ZNF418
ZNF256,AC010326.1,C19orf18,ZNF606,AC008969.1,VN2R19P,ZSCAN1,LETM1P2,ZNF135,RN7SL526P,ZSCAN18,ZNF329,ZNF274,RPS15AP36,ZNF544,AC020915.4,AC020915.3,ZNF8,AC020915.2,AC020915.1
AC010642.2,AC010642.1,ZSCAN22,A1BG,AC012313.3,A1BG-AS1,AC012313.10,ZNF497,AC012313.2,AC012313.6,ZNF837,RPS5,MIR4754,RNF225,LINC02560,ZNF584,AC012313.1,AC012313.4,AC012313.5,ZNF132
AC012313.8,ZNF324B,ZNF324,ZNF446,SLC27A5,RNU6-1337P,AC012313.9,ZBTB45,TRIM28,CHMP2A,UBE2M,MZF1-AS1,MZF1,CENPBD1P1,AC016629.3,None,None,None,None,None
C20orf96,ZCCHC3,NRSN2-AS1,SOX12,NRSN2,TRIB3,RBCK1,TBC1D20,CSNK2A1,TCF15,SRXN1,AL121758.1,SLC52A3,FAM110A,RPS10P5,ANGPT4,RSPO4,PSMF1,ACTG1P3,TMEM74B
C20orf202,SNPH,SDCBP2,AL136531.2,AL136531.3,SDCBP2-AS1,AL136531.1,FKBP1A,NSFL1C,SIRPB2,AL049634.1,SIRPD,SIRPB1,SIRPG,SIRPG-AS1,AL109809.1,AL117335.1,SIRPA,STK35,AL121899.1
SNRPB,ZNF343,TMC2,NOP56,IDH3B,AL049712.1,EBF4,CPXM1,PCED1A,VPS16,PTPRA,GNRH2,MRPS26,OXT,UBOX5-AS1,UBOX5,FASTKD5,LZTS3,DDRGK1,ITPA
SLC4A11,AL109976.1,C20orf194,UBE2V1P1,ATRN,SF3A3P1,ADAM33,SIGLEC1,HSPA12B,C20orf27,SPEF1,CENPB,CDC25B,LINC01730,AL109804.1,AP5S1,MAVS,AL353194.1,PANK2,MIR103A2
AL031670.1,RNF24,FTLP3,RPL21P2,SMOX,LINC01433,ADRA1D,RPS4XP2,PRNP,PRND,RASSF2,SLC23A2,AL121890.2,AL121890.5,AL121890.4,TMEM230,RNA5SP474,PCNA,CDS2,UBE2D3P1
PROKR2,AL121757.1,LINC00654,GPCPD1,EIF4EP1,C20orf196,CHGB,TRMT6,MCM8,MCM8-AS1,AL035461.2,CRLS1,LRRN4,AL118505.1,FERMT1,AL109618.1,BMP2,TMX4,AL021396.1,PLCB1
PLCB4,LAMP5,PAK5,ANKEF1,SNAP25-AS1,SNAP25,SDAD1P2,MKKS,SLX4IP,AL035456.1,JAG1,AL050403.2,LINC01752,C20orf187,AL049649.1,BTBD3,AL035448.1,PA2G4P2,SPTLC3,ISM1
ISM1-AS1,AL050320.1,AL121782.1,TASP1,GAPDHP2,ESF1,NDUFAF5,SEL1L2,MACROD2,FLRT3,RPS10P2,KIF16B,AL049794.1,AL034428.1,SNRPB2,PCSK2,BFSP1,RPS27AP2,AL132765.2,DSTN
AL132765.1,RRBP1,SNX5,OVOL2,SNORD17,MGME1,PTMAP3,PET117,KAT14,ZNF133,RN7SKP74,AL049646.1,DZANK1,GCNT1P1,POLR3F,RPL21P3,RBBP9,RPS19P1,SEC23B,SMIM26
DTD1,EEF1A1P34,LINC00652,AL035563.1,SLC24A3,AL049647.1,AL121761.2,RPL12P12,RIN2,NAA20,CRNKL1,CFAP61,AL121721.1,INSM1,RALGAPA2,RPL24P2,KIZ,AL121759.1,KIZ-AS1,RPS15AP1
AL117332.1,XRN2,AL133325.3,LINC01727,PAX1,RPL41P1,AL049737.1,LINC00261,FOXA2,LINC01747,THBD,AL118508.4,CD93,AL118508.3,AL118508.1,AL390037.1,AL096677.1,NXT1,LINC01431,GZF1
NAPB,CSTL1,CST3,AL121894.2,CST4,CST1,CST2,CST5,GGTLC1,SYNDIG1,AL035661.1,CST7,APMAP,ACSS1,AL080312.2,VSX1,AL035252.2,ENTPD6,AL035252.3,AL121772.1
PYGB,AL121772.3,ABHD12,PPIAP2,GINS1,NINL,NANP,ZNF337-AS1,MED28P7,ZNF337,AL031673.1,VN1R108P,AL390198.1,FAM182B,AL450124.1,FAM182A,MIR663AHG,FRG1CP,FRG1DP,FRG1EP
5S_rRNA,ABBA01031674.1,LINC01597,FRG1BP,MLLT10P1,ANKRD20A21P,AL121723.1,DEFB124,REM1,LINC00028,HM13,AL110115.1,HM13-IT1,HM13-AS1,AL110115.2,ID1,COX4I2,BCL2L1,AL117381.1,TPX2
MYLK2,FOXS1,DUSP15,TTLL9,PDRG1,XKR7,CCM2L,AL031658.1,HCK,TM9SF4,AL049539.1,RSL24D1P6,TSPY26P,PLAGL2,POFUT1,KIF3B,AL121583.1,ASXL1,NOL4L,AL034550.1
AL034550.2,C20orf203,BAK1P1,COMMD7,DNMT3B,MAPRE1,AL035071.2,AL035071.1,EFCAB8,BPIFB2,BPIFB4,BPIFA2,BPIFB1,BPIFB9P,CDK5RAP1,SNTA1,CBFA2T2,AL121906.2,NECAB3,C20orf144
ACTL10,AL121906.1,E2F1,PXMP4,ZNF341,RPL31P2,ZNF341-AS1,CHMP4B,RALY,EIF2S2,RPS2P1,ASIP,XPOTP1,AL035458.2,AL035458.1,AHCY,AL356299.2,ITCH,FDX1P1,AL109923.1
DYNLRB1,MAP1LC3A,PIGU,NCOA6,TP53INP2,GGT7,ACSS2,GSS,MYH7B,TRPC4AP,RNU6-407P,EDEM2,SNORD56,PROCR,MMP24-AS1,MMP24,AL121753.2,AL121753.1,EIF6,FAM83C-AS1
FAM83C,UQCC1,GDF5,CEP250,FO393401.1,ERGIC3,FER1L4,RPL37P1,SPAG4,CPNE1,RN7SKP271,RNU6-759P,RBM12,NFS1,ROMO1,RBM39,RPF2P1,PHF20,Y_RNA,HIGD1AP16
SCAND1,CNBD2,NORAD,AL035420.3,AL035420.1,EPB41L1,AL121895.1,AL121895.2,AAR2,DLGAP4,DLGAP4-AS1,MYL9,TGIF2,C20orf24,SLA2,NDRG3,DSN1,SOGA1,TLDC2,SAMHD1
RBL1,RPS27AP3,AL136172.1,MROH8,RPN2,MANBAL,SRC,RPL7AP14,BLCAP,NNAT,AL109614.1,PPIAP3,CTNNBL1,VSTM2L,TTI1,RPRD1B,AL031651.1,TGM2,KIAA1755,AL031651.2
BPI,LBP,AL391095.1,AL391095.3,SNHG17,SNORA71B,SNHG11,RALGAPB,RPS3P2,ARHGAP40,ACTR5,RN7SKP173,PPP1R16B,FAM83D,AL023803.2,AL023803.1,DHX35,AL023803.3,NPM1P19,MAFB
AL035665.1,TOP1,PLCG1-AS1,PLCG1,ZHX3,RPL23AP81,LPIN3,EMILIN3,CHD6,AL031667.3,RPL12P11,PTPRT,PPIAP21,SRSF6,L3MBTL1,SGK2,Z98752.4,IFT52,AL121886.1,MYBL2
GTSF1L,TOX2,JPH2,OSER1,OSER1-AS1,GDAP1L1,FITM2,HNF4A,RPL37AP1,TTPAL,SERINC3,PKIG,ADA,KCNK15-AS1,WISP2,KCNK15,AL118522.1,RIMS4,YWHAB,PABPC1L
TOMM34,STK4-AS1,STK4,KCNS1,WFDC5,WFDC12,AL049767.1,PI3,SLPI,MATN4,RBPJL,SDC4,AL021578.1,SYS1,SYS1-DBNDD2,TP53TG5,DBNDD2,PIGT,MIR6812,AL031663.3
WFDC2,RPS2P7,WFDC10B,WFDC13,WFDC3,DNTTIP1,UBE2C,TNNC2,SNX21,ACOT8,Metazoa_SRP,ZSWIM3,ZSWIM1,SPATA25,NEURL2,CTSA,PLTP,PCIF1,ZNF335,MMP9
SLC12A5-AS1,SLC12A5,NCOA5,RPL13P2,CD40,CDH22,SLC35C2,AL133227.1,ELMO2,ZNF663P,AL031686.1,MKRN7P,ZNF840P,ZNF334,SLC13A3,AL133520.1,TP53RK,AL031055.1,SLC2A10,EYA2
AL354766.2,AL022342.1,ZMYND8,AL031666.2,AL031666.3,AL031666.1,NCOA3,AL034418.1,SULF2,AL354813.1,LINC01522,AL139351.1,LINC00494,PREX1,AL133342.1,ARFGEF2,SNAP23P1,CSE1L-AS1,CSE1L,STAU1
ARPC3P1,DDX27,ZNFX1,ZFAS1,SNORD12C,KCNB1,PTGIS,B4GALT5,SNRPFP1,SLC9A8,AL162615.1,SPATA2,RNF114,KRT18P4,SNAI1,UBE2V1,TMEM189,AL161937.2,LINC01273,CEBPB-AS1
CEBPB,SMIM25,LINC01270,LINC01271,COX6CP2,PTPN1,AL133230.1,RIPOR3,AL353653.1,PARD6B,BCAS4,ADNP,PSMD10P1,ADNP-AS1,DPM1,MOCS3,KCNG1,RPSAP1,NFATC2,ATP9A
SALL4,LINC01429,ZFP64,ERP29P1,LINC01524,TSHZ2,AL354993.1,AL354993.2,AL157838.1,ZNF217,BCAS1,CYP24A1,PFDN4,DOK5,RPL12P4,CBLN4,FAM210B,AURKA,CSTF1,CASS4
RTFDC1,GCNT7,FAM209A,AL109806.1,FAM209B,RPS4XP3,TFAP2C,BMP7,AL122058.1,RAE1,MTRNR2L3,AL109955.1,RBM38,HMGB1P1,CTCFL,PCK1,ZBP1,PMEPA1,NKILA,PPP4R1L
RAB22A,VAPB,APCDD1L,APCDD1L-AS1,LINC01711,STX16,STX16-NPEPL1,NPEPL1,AL139349.1,AL132655.2,GNAS-AS1,AL132655.1,GNAS,AL121917.1,AL121917.2,NELFCD,CTSZ,TUBB1,ATP5E,PRELID3B
ZNF831,EDN3,PHACTR3,SYCP2,FAM217B,PPP1R3D,CDH26,C20orf197,AL132822.1,MIR646HG,CDH4,AL160412.1,TAF4,AL137077.2,LSM14B,PSMA7,SS18L1,MTG2,HRH3,OSBPL2
ADRM1,AL354836.1,LAMA5,LAMA5-AS1,AL121832.2,RPS21,CABLES2,AL121832.3,RBBP8NL,AL121832.1,GATA5,C20orf166-AS1,BX640514.2,AL357033.1,SLCO4A1,AL357033.4,AL357033.3,SLCO4A1-AS1,NTSR1,LINC00659
MRGBP,OGFR-AS1,OGFR,COL9A3,TCFL5,ARF4P2,DIDO1,AL117379.1,GID8,SLC17A9,HAR1B,HAR1A,AL096828.1,YTHDF1,AL096828.3,BIRC7,NKAIN4,FLJ16779,ARFGAP1,MIR4326
